ItemNumber,PropertyCode,PropertyDescription,ValueCode,ValueDescription,UserInputed
12-422-250               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-250               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-250               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-250               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-250               ,2304,Network Cable_Length                              ,21903,2 ft.,
12-422-250               ,2307,Network Cable_Model                               ,,,CY-CAT6-02-YL
12-422-250               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-251               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-251               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-251               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-251               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-251               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-251               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-251               ,2304,Network Cable_Length                              ,13984,3 ft.,
12-422-251               ,2307,Network Cable_Model                               ,,,CY-CAT6-03-YL
12-422-251               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-252               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-252               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-252               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-252               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-252               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-252               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-252               ,2304,Network Cable_Length                              ,15113,5 ft.,
12-422-252               ,2307,Network Cable_Model                               ,,,CY-CAT6-05-YL
12-422-252               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-253               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-253               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-253               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-253               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-253               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-253               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-253               ,2304,Network Cable_Length                              ,13970,7 ft.,
12-422-253               ,2307,Network Cable_Model                               ,,,CY-CAT6-07-YL
12-422-253               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-254               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-254               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-254               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-254               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-254               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-254               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-254               ,2304,Network Cable_Length                              ,13964,10 ft.,
12-422-254               ,2307,Network Cable_Model                               ,,,CY-CAT6-10-YL
12-422-254               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-255               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-255               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-255               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-255               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-255               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-255               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-255               ,2304,Network Cable_Length                              ,13967,14 ft.,
12-422-255               ,2307,Network Cable_Model                               ,,,CY-CAT6-14-YL
12-422-255               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-256               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-256               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-256               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-256               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-256               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-256               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-256               ,2304,Network Cable_Length                              ,16885,20 ft.,
12-422-256               ,2307,Network Cable_Model                               ,,,CY-CAT6-20-YL
12-422-256               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-257               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-257               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-257               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-257               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-257               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-257               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-257               ,2304,Network Cable_Length                              ,13968,25 ft.,
12-422-257               ,2307,Network Cable_Model                               ,,,CY-CAT6-25-YL
12-422-257               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-258               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-258               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-258               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-258               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-258               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-258               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-258               ,2304,Network Cable_Length                              ,25898,30 ft.,
12-422-258               ,2307,Network Cable_Model                               ,,,CY-CAT6-30-YL
12-422-258               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-259               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-259               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-259               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-259               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-259               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-259               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-259               ,2304,Network Cable_Length                              ,13969,50 ft.,
12-422-259               ,2307,Network Cable_Model                               ,,,CY-CAT6-50-YL
12-422-259               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-260               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-260               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-260               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-260               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-260               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-260               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-260               ,2304,Network Cable_Length                              ,21912,75 ft.,
12-422-260               ,2307,Network Cable_Model                               ,,,CY-CAT6-75-YL
12-422-260               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-261               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-261               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-261               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-261               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-261               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-261               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-261               ,2304,Network Cable_Length                              ,13965,100 ft.,
12-422-261               ,2307,Network Cable_Model                               ,,,CY-CAT6-100-YL
12-422-261               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-262               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-262               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-262               ,2306,Network Cable_Color                               ,13924,Black,
12-422-262               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-262               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-262               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-262               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-262               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-BK
12-422-262               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-264               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-264               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-264               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-264               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-264               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-264               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-264               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-264               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-GY
12-422-264               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-265               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-265               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-265               ,2306,Network Cable_Color                               ,13931,Green,
12-422-265               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-265               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-265               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-265               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-265               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-GR
12-422-265               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-267               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-267               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-267               ,2306,Network Cable_Color                               ,25502,Pink,
12-422-267               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-267               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-267               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-267               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-267               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-PK
12-422-267               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-268               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-268               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-268               ,2306,Network Cable_Color                               ,13937,Purple,
12-422-268               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-268               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-268               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-268               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-268               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-PR
12-422-268               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-269               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-269               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-269               ,2306,Network Cable_Color                               ,13938,Red,
12-422-269               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-269               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-269               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-269               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-269               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-RD
12-422-269               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-270               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-270               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-270               ,2306,Network Cable_Color                               ,13941,White,
12-422-270               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-270               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-270               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-270               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-270               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-WH
12-422-270               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-271               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-271               ,2305,Network Cable_Cat                                 ,13961,6,
12-422-271               ,2306,Network Cable_Color                               ,13956,Yellow,
12-422-271               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-271               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-271               ,2488,Network Cable_Features                            ,,,Cat6 550Mhz UTP Cable    AWG: 24    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-271               ,2304,Network Cable_Length                              ,13966,1000 ft.,
12-422-271               ,2307,Network Cable_Model                               ,,,CY-CAT6-1K(CM)-ST-YL
12-422-271               ,1705,Network Cable_Shielded                            ,11619,No,
12-422-272               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-272               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-272               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-272               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-272               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-272               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-272               ,2304,Network Cable_Length                              ,331229,0.5 ft.,
12-422-272               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-0.5-BL
12-422-272               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-273               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-273               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-273               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-273               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-273               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-273               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-273               ,2304,Network Cable_Length                              ,15264,1 ft.,
12-422-273               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-01-BL
12-422-273               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-274               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-274               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-274               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-274               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-274               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-274               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-274               ,2304,Network Cable_Length                              ,21903,2 ft.,
12-422-274               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-02-BL
12-422-274               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-275               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-275               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-275               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-275               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-275               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-275               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-275               ,2304,Network Cable_Length                              ,13984,3 ft.,
12-422-275               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-03-BL
12-422-275               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-276               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-276               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-276               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-276               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-276               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-276               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-276               ,2304,Network Cable_Length                              ,15113,5 ft.,
12-422-276               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-05-BL
12-422-276               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-277               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-277               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-277               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-277               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-277               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-277               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-277               ,2304,Network Cable_Length                              ,13970,7 ft.,
12-422-277               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-07-BL
12-422-277               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-278               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-278               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-278               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-278               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-278               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-278               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-278               ,2304,Network Cable_Length                              ,13964,10 ft.,
12-422-278               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-10-BL
12-422-278               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-279               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-279               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-279               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-279               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-279               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-279               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-279               ,2304,Network Cable_Length                              ,13967,14 ft.,
12-422-279               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-14-BL
12-422-279               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-280               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-280               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-280               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-280               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-280               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-280               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-280               ,2304,Network Cable_Length                              ,16885,20 ft.,
12-422-280               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-20-BL
12-422-280               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-281               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-281               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-281               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-281               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-281               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-281               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-281               ,2304,Network Cable_Length                              ,13968,25 ft.,
12-422-281               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-25-BL
12-422-281               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-282               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-282               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-282               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-282               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-282               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-282               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-282               ,2304,Network Cable_Length                              ,25898,30 ft.,
12-422-282               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-30-BL
12-422-282               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-283               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-283               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-283               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-283               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-283               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-283               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-283               ,2304,Network Cable_Length                              ,13969,50 ft.,
12-422-283               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-50-BL
12-422-283               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-285               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-285               ,2305,Network Cable_Cat                                 ,75025,6A,
12-422-285               ,2306,Network Cable_Color                               ,13926,Blue,
12-422-285               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-285               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-285               ,2488,Network Cable_Features                            ,,,Cat6A 550Mhz PIMF Cable    AWG: 26    Conductor Construction: Bare Stranded Copper    Flame Retardant Test: CMH    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-285               ,2304,Network Cable_Length                              ,13965,100 ft.,
12-422-285               ,2307,Network Cable_Model                               ,,,CY-CAT6A-STP-100-BL
12-422-285               ,1705,Network Cable_Shielded                            ,11618,Yes,
12-422-286               ,1704,Network Cable_Brand                               ,300331,Coboc,
12-422-286               ,2305,Network Cable_Cat                                 ,13959,5E,
12-422-286               ,2306,Network Cable_Color                               ,13930,Gray,
12-422-286               ,13557,Network Cable_Connector A                         ,74894,RJ45,
12-422-286               ,13558,Network Cable_Connector B                         ,74895,RJ45,
12-422-286               ,2488,Network Cable_Features                            ,,,Cat5E 350Mhz PIMF Cable    AWG: 24    Conductor Construction: Bare Solid Copper    Flame Retardant Test: CMP    Contact Gold Plating: 50u"    Jacket Material: PVC    RoHS Compliant: Yes    UL listed: Yes    ETL Verified: Yes
12-422-286               ,2304,Network Cable_Length                              ,331229,0.5 ft.,
12-422-286               ,2307,Network Cable_Model                               ,,,CY-CAT5E-CMP-0.5-GY
12-422-286               ,1705,Network Cable_Shielded                            ,11619,No,
